Country,State,City,Organization,lastupdate,Avg,Max,Min,Pollutant_Name,Predominant_Parameter,AQI_Value
India,NCT of Delhi,Delhi,"Anand Vihar, Delhi - DPCC",14-09-2021 10:00,65,130,10,PM2.5,PM10,88
India,NCT of Delhi,Delhi,"Anand Vihar, Delhi - DPCC",14-09-2021 10:00,88,135,8,PM10,PM10,88
India,NCT of Delhi,Delhi,"Anand Vihar, Delhi - DPCC",14-09-2021 10:00,NA,NA,NA,NO2,PM10,88
India,NCT of Delhi,Delhi,"Anand Vihar, Delhi - DPCC",14-09-2021 10:00,NA,NA,NA,NH3,PM10,88
India,NCT of Delhi,Delhi,"Anand Vihar, Delhi - DPCC",14-09-2021 10:00,22,69,4,SO2,PM10,88
India,NCT of Delhi,Delhi,"Anand Vihar, Delhi - DPCC",14-09-2021 10:00,74,123,30,CO,PM10,88
India,NCT of Delhi,Delhi,"Anand Vihar, Delhi - DPCC",14-09-2021 10:00,24,86,8,OZONE,PM10,88
India,NCT of Delhi,Delhi,"Ashok Vihar, Delhi - DPCC",14-09-2021 10:00,39,92,12,PM2.5,PM10,72
India,NCT of Delhi,Delhi,"Ashok Vihar, Delhi - DPCC",14-09-2021 10:00,72,101,31,PM10,PM10,72
India,NCT of Delhi,Delhi,"Ashok Vihar, Delhi - DPCC",14-09-2021 10:00,22,31,14,NO2,PM10,72
India,NCT of Delhi,Delhi,"Ashok Vihar, Delhi - DPCC",14-09-2021 10:00,4,4,4,NH3,PM10,72
India,NCT of Delhi,Delhi,"Ashok Vihar, Delhi - DPCC",14-09-2021 10:00,20,25,15,SO2,PM10,72
India,NCT of Delhi,Delhi,"Ashok Vihar, Delhi - DPCC",14-09-2021 10:00,33,80,12,CO,PM10,72
India,NCT of Delhi,Delhi,"Ashok Vihar, Delhi - DPCC",14-09-2021 10:00,14,104,8,OZONE,PM10,72
India,NCT of Delhi,Delhi,"Aya Nagar, Delhi - IMD",14-09-2021 10:00,34,92,4,PM2.5,PM10,43
India,NCT of Delhi,Delhi,"Aya Nagar, Delhi - IMD",14-09-2021 10:00,43,72,7,PM10,PM10,43
India,NCT of Delhi,Delhi,"Aya Nagar, Delhi - IMD",14-09-2021 10:00,16,19,12,NO2,PM10,43
India,NCT of Delhi,Delhi,"Aya Nagar, Delhi - IMD",14-09-2021 10:00,37,55,34,CO,PM10,43
India,NCT of Delhi,Delhi,"Aya Nagar, Delhi - IMD",14-09-2021 10:00,16,31,1,OZONE,PM10,43
India,NCT of Delhi,Delhi,"Bawana, Delhi - DPCC",14-09-2021 10:00,NA,NA,NA,PM2.5,,
India,NCT of Delhi,Delhi,"Bawana, Delhi - DPCC",14-09-2021 10:00,NA,NA,NA,PM10,,
India,NCT of Delhi,Delhi,"Bawana, Delhi - DPCC",14-09-2021 10:00,NA,NA,NA,NO2,,
India,NCT of Delhi,Delhi,"Bawana, Delhi - DPCC",14-09-2021 10:00,NA,NA,NA,NH3,,
India,NCT of Delhi,Delhi,"Bawana, Delhi - DPCC",14-09-2021 10:00,NA,NA,NA,SO2,,
India,NCT of Delhi,Delhi,"Bawana, Delhi - DPCC",14-09-2021 10:00,NA,NA,NA,CO,,
India,NCT of Delhi,Delhi,"Bawana, Delhi - DPCC",14-09-2021 10:00,NA,NA,NA,OZONE,,
India,NCT of Delhi,Delhi,"CRRI Mathura Road, Delhi - IMD",14-09-2021 10:00,32,72,3,PM2.5,CO,114
India,NCT of Delhi,Delhi,"CRRI Mathura Road, Delhi - IMD",14-09-2021 10:00,47,98,8,PM10,CO,114
India,NCT of Delhi,Delhi,"CRRI Mathura Road, Delhi - IMD",14-09-2021 10:00,24,26,23,NO2,CO,114
India,NCT of Delhi,Delhi,"CRRI Mathura Road, Delhi - IMD",14-09-2021 10:00,114,136,112,CO,CO,114
India,NCT of Delhi,Delhi,"CRRI Mathura Road, Delhi - IMD",14-09-2021 10:00,33,66,17,OZONE,CO,114
India,NCT of Delhi,Delhi,"Chandni Chowk, Delhi - IITM",14-09-2021 10:00,51,63,32,PM2.5,PM10,135
India,NCT of Delhi,Delhi,"Chandni Chowk, Delhi - IITM",14-09-2021 10:00,135,493,43,PM10,PM10,135
India,NCT of Delhi,Delhi,"Chandni Chowk, Delhi - IITM",14-09-2021 10:00,17,19,15,NO2,PM10,135
India,NCT of Delhi,Delhi,"Chandni Chowk, Delhi - IITM",14-09-2021 10:00,4,5,3,NH3,PM10,135
India,NCT of Delhi,Delhi,"Chandni Chowk, Delhi - IITM",14-09-2021 10:00,10,12,8,SO2,PM10,135
India,NCT of Delhi,Delhi,"Chandni Chowk, Delhi - IITM",14-09-2021 10:00,36,54,28,CO,PM10,135
India,NCT of Delhi,Delhi,"Chandni Chowk, Delhi - IITM",14-09-2021 10:00,4,75,4,OZONE,PM10,135
India,NCT of Delhi,Delhi,"DTU, Delhi - CPCB",14-09-2021 10:00,NA,NA,NA,PM2.5,PM10,44
India,NCT of Delhi,Delhi,"DTU, Delhi - CPCB",14-09-2021 10:00,44,88,21,PM10,PM10,44
India,NCT of Delhi,Delhi,"DTU, Delhi - CPCB",14-09-2021 10:00,29,44,21,NO2,PM10,44
India,NCT of Delhi,Delhi,"DTU, Delhi - CPCB",14-09-2021 10:00,9,11,7,NH3,PM10,44
India,NCT of Delhi,Delhi,"DTU, Delhi - CPCB",14-09-2021 10:00,11,12,11,SO2,PM10,44
India,NCT of Delhi,Delhi,"DTU, Delhi - CPCB",14-09-2021 10:00,19,40,7,CO,PM10,44
India,NCT of Delhi,Delhi,"DTU, Delhi - CPCB",14-09-2021 10:00,35,48,32,OZONE,PM10,44
India,NCT of Delhi,Delhi,"Dr. Karni Singh Shooting Range, Delhi - DPCC",14-09-2021 10:00,40,68,8,PM2.5,NO2,61
India,NCT of Delhi,Delhi,"Dr. Karni Singh Shooting Range, Delhi - DPCC",14-09-2021 10:00,47,89,23,PM10,NO2,61
India,NCT of Delhi,Delhi,"Dr. Karni Singh Shooting Range, Delhi - DPCC",14-09-2021 10:00,61,86,42,NO2,NO2,61
India,NCT of Delhi,Delhi,"Dr. Karni Singh Shooting Range, Delhi - DPCC",14-09-2021 10:00,4,11,3,NH3,NO2,61
India,NCT of Delhi,Delhi,"Dr. Karni Singh Shooting Range, Delhi - DPCC",14-09-2021 10:00,7,10,1,SO2,NO2,61
India,NCT of Delhi,Delhi,"Dr. Karni Singh Shooting Range, Delhi - DPCC",14-09-2021 10:00,NA,NA,NA,CO,NO2,61
India,NCT of Delhi,Delhi,"Dr. Karni Singh Shooting Range, Delhi - DPCC",14-09-2021 10:00,8,40,7,OZONE,NO2,61
India,NCT of Delhi,Delhi,"Dwarka-Sector 8, Delhi - DPCC",14-09-2021 10:00,47,68,12,PM2.5,PM10,59
India,NCT of Delhi,Delhi,"Dwarka-Sector 8, Delhi - DPCC",14-09-2021 10:00,59,112,13,PM10,PM10,59
India,NCT of Delhi,Delhi,"Dwarka-Sector 8, Delhi - DPCC",14-09-2021 10:00,16,32,6,NO2,PM10,59
India,NCT of Delhi,Delhi,"Dwarka-Sector 8, Delhi - DPCC",14-09-2021 10:00,10,11,8,NH3,PM10,59
